id,post_id,user_id,content_license,user_display_name,text,creation_date
82,143,,CC BY-SA 2.5,user88,I think this is the first candidate to be moved to Stack Overflow.,2010-07-19 21:38:27.890
101,143,,CC BY-SA 2.5,,"Possibly, but it'd need a lot more explanation on SO.",2010-07-20 01:29:42.683
127,143,,CC BY-SA 2.5,,"Most programmers know ""median"".  (sort(array))[length/2] is a big enough hint for those who forgot.  Also at its most basic for each new point you only need to do a bisection/insert on one half of the array...",2010-07-20 09:04:20.020
172,143,,CC BY-SA 2.5,,@walkytalky I don't think it would require any more explanation than any other algorithm question on SO.  Probably less as the median is a relatively basic concept.,2010-07-20 18:15:39.900
194,143,,CC BY-SA 2.5,,@Sharpie Perhaps not more than other SO algo questions. But certainly more than what it actually says here!,2010-07-21 02:58:14.737
254,414,4.0,CC BY-SA 2.5,,"@sharpie: are jokes out?  We obviously don't want the entire site to be humor, but everyone benefits from a little educational humor in small doses.",2010-07-22 05:15:40.057
273,414,,CC BY-SA 2.5,,"@Sharpie, feel free to close or reopen according to your feelings! I agree with Shane, a bit is ok, but not too much. For example, this question already included a funny cartoon. The jokes question not really a funny joke....",2010-07-22 13:58:03.300
274,414,4.0,CC BY-SA 2.5,,These cartoons are useful too; they can be included in a lecture on a particular topic where you are trying to explain a concept (e.g. correlation/causation above).  A little humor can help to keep an audience engaged.,2010-07-22 14:22:11.213
306,541,190.0,CC BY-SA 2.5,,"If I am not mistaken, 

linear regression is the estimation of coefficients that define a good linear map from X to Y.

 ANOVA is a test to know if there is significant differences in X when Y take two different values.  

Can you explain us why you think they are the same?",2010-07-23 15:29:16.043
309,543,,CC BY-SA 2.5,user28,"Thanks for the Gelman reference. I will read his paper. But, can't we analyze multilevel models using classical maximum likelihood? I agree that OLS is inefficient/inappropriate for multi-level models.",2010-07-23 15:50:47.240
311,543,182.0,CC BY-SA 2.5,,"@Srikant - there any many ways to deal with multilevel data and Gelman is ""the king"" of this field. His point is that ANOVA is a simple/clear method of capturing the key features of complex and hierarchical data structures or study designs and ANOVA is a simple/clear way of presenting the key results. In this sense it's role is complementary or exploratory.",2010-07-23 16:30:00.160
1023,1248,132.0,CC BY-SA 2.5,,I made this community wiki as there is no correct answer.,2010-08-06 02:44:34.817
1077,1248,155.0,CC BY-SA 2.5,,It probably makes sense to leave cartoons in this question: http://stats.stackexchange.com/questions/423/what-is-your-favorite-data-analysis-cartoon,2010-08-08 11:49:27.500
1121,28,4.0,CC BY-SA 2.5,,"Thanks @robin; made CW.  Although I don't entirely see this as ""argumentative""; there are two fields which have informed each other (this is a fact), and the question is how much they have evolved together over the last decade.",2010-08-09 14:17:51.890
1319,143,132.0,CC BY-SA 2.5,,Re-opened following discussion at http://meta.stats.stackexchange.com/questions/276/should-we-unclose-computing-questions,2010-08-13 00:31:38.923
2603,2509,60.0,CC BY-SA 2.5,,"Good question. I agree with the quote as well. I believe there are many people in statistics and mathematics who are highly intelligent, and can get very deep into their work, but don't deeply understand what they are working on. Or they do, but are incapable of explaining it to others.I go out of my way to provide answers here in plain English, and ask questions demanding plan English answers.",2010-09-15 21:43:29.863
2612,2509,,CC BY-SA 2.5,user1108,I had imagined a lengthy demo with a bunch of graphs and explanations when I stumbled across [this](http://www.youtube.com/watch?v=BfTMmoDFXyE).,2010-09-16 02:18:11.883
2615,2509,668.0,CC BY-SA 2.5,,"This was asked on the Mathematics site in July, but not as well and it didn't get many answers (not surprising, given the different focus there).  http://math.stackexchange.com/questions/1146/intuitive-way-to-understand-principal-component-analysis",2010-09-16 05:03:44.287
2618,2509,,CC BY-SA 2.5,,Similar to explanation by Zuur et al in Analyzing ecological data where they talk about projecting your hand on an overhead projector. You keep rotating your hand so that the projection on the wall looks pretty similar to what you think a hand should look like.,2010-09-16 09:00:49.823
3809,541,,CC BY-SA 2.5,,"ANOVA can be seen as ""syntactic sugar"" for a special subgroup of linear regression models. ANOVA is regularly used by researchers who are not statisticians by training. They are now ""institutionalized"" and its hard to convert them back to using the more general representation ;-)",2010-10-14 16:52:51.193
4419,2509,,CC BY-SA 2.5,,"Here is the link to ""Analysing ecological data"" by Alain F. Zuur, Elena N. Ieno, Graham M. Smith, where the example with the overhead-projector and the hand is given: http://books.google.de/books?id=mmPvf-l7xFEC&lpg=PA15&ots=b_5iizOr3p&dq=Zuur%20et%20al%20in%20Analyzing%20ecological%20data&hl=en&pg=PA194#v=onepage&q&f=false",2010-10-26 06:25:04.147
4636,3649,211.0,CC BY-SA 2.5,,"Thanks chl for the answer, I accepted it for the sheer scope of it.  Best, Tal",2010-10-31 13:34:32.593
5192,4187,287.0,CC BY-SA 2.5,,"I'm aware that ""sin"" is possibly inflammatory and that that some aspects of statistical analysis are not black-and-white. My intention is to solicit cases where a given commonly-taught practice is pretty clearly inappropriate.",2010-11-15 18:53:14.270
5194,4187,436.0,CC BY-SA 2.5,,You can also add biology/life sciences students to the mix if you like ;),2010-11-15 19:03:17.187
5196,4187,449.0,CC BY-SA 2.5,,maybe retitle it life science statistical sins?... or something else more specific...,2010-11-15 19:27:28.377
5972,4705,,CC BY-SA 2.5,user88,Converted to community wiki.,2010-12-04 00:14:08.750
5973,4705,1209.0,CC BY-SA 2.5,,what is community wiki?,2010-12-04 00:53:59.723
5975,4705,,CC BY-SA 2.5,,@Mariana: http://www.sharepointoverflow.com/questions/432/what-is-community-wiki,2010-12-04 04:32:47.227
5990,4705,,CC BY-SA 2.5,user88,@Mariana The idea is that pools and list-ofs are converted to a form in which they can be easily managed (due to lower rep req to edit) and voted up/down without hurting participants' reputation (votes on CW posts does not give/take reputation).,2010-12-04 16:01:50.720
6372,5015,,CC BY-SA 2.5,,"you could probably get a better answer if you provided more details about your experimental design, research question, and statistical model.",2010-12-13 23:52:15.460
6373,5015,1542.0,CC BY-SA 2.5,,"I have survey data, v1 and v2 predict the outcome, as I expected; however, the interaction between v1 (dichotomous) and v2 (5 groups) is not significant -- and (my question) it makes my v1 and v2 direct effects non-significant too. I can't find an example on reporting this in the literature.",2010-12-14 00:03:33.020
6374,5015,,CC BY-SA 2.5,,"If the v1:v2 interaction is not significant, do you need to have it included in the model?",2010-12-14 01:40:08.247
6379,5015,1506.0,CC BY-SA 2.5,,Maybe this question is relevant?  http://stats.stackexchange.com/questions/5184/removing-factors-from-a-3-way-anova-table,2010-12-14 03:00:55.870
6637,4714,,CC BY-SA 2.5,,But was he _really_ a statistician?,2010-12-19 22:27:36.527
6656,4714,60.0,CC BY-SA 2.5,,That's a tough one...when did statistics become a real field? Many of the fathers of stats were not statisticians.,2010-12-20 18:23:52.967
6702,4705,668.0,CC BY-SA 2.5,,If it weren't CW it would have to be closed as subjective and argumentative!,2010-12-21 19:37:00.287
6803,4714,1209.0,CC BY-SA 2.5,,"I know my choice is kind of arbitrary, because many are important but this is my favourite one, and his method allowed me to do lots of things.",2010-12-24 18:35:22.593
8089,1760,,CC BY-SA 2.5,,This is related to a past question: http://stats.stackexchange.com/q/2275/495,2011-01-25 20:19:06.560
8736,4187,,CC BY-SA 2.5,user88,"@whuber There was some good answers, so I've merged them both.",2011-02-06 11:02:41.973
9263,1787,723.0,CC BY-SA 2.5,,"Hmm - my question is not very well defined. The only thing I can do is pick *some* model for q() that permits setting parameters, and maximise the goodness of fit by fiddling with those parameters. That is - no matter what I do I will have to make some assumptions about what q() basically looks like.",2011-02-16 06:35:44.297
10996,543,,CC BY-SA 2.5,,"+1 for a nice clear answer.  Paragraph 3 is essentially what I was taught as a biology undergraduate, with emphasis laid on the ease of combining continuous and categorical independent variables in an ANOVA framework.",2011-03-14 15:43:11.747
11730,7965,1691.0,CC BY-SA 2.5,,"I realize that these are two slightly different questions, but I want them to be together to give some background to what I am using the results of the `scale()` function.",2011-03-24 14:52:09.670
