id,post_id,user_id,post_history_type_id,user_display_name,content_license,revision_guid,text,comment,creation_date
48,28,4.0,1,,CC BY-SA 2.5,18914b59-1d73-4c14-a8b6-25d429a1888e,The Two Cultures: statistics vs. machine learning?,,2010-07-19 19:14:44.080
47,28,4.0,3,,CC BY-SA 2.5,18914b59-1d73-4c14-a8b6-25d429a1888e,<statistics><machine-learning>,,2010-07-19 19:14:44.080
46,28,4.0,2,,CC BY-SA 2.5,18914b59-1d73-4c14-a8b6-25d429a1888e,"Last year, I read a blog post from [Bendan O'Connor][1] entitled [""Statistics vs. Machine Learning, fight!""][2] that discussed some of the differences between the two fields.  [Andrew Gelman responded to favorably to this][3]:

Simon Blomberg: 
> From R's fortunes
> package: To paraphrase provocatively,
> 'machine learning is statistics minus
> any checking of models and
> assumptions'.
> -- Brian D. Ripley (about the difference between machine learning
> and statistics) useR! 2004, Vienna
> (May 2004) :-) Season's Greetings!

Andrew Gelman:

> In that case, maybe we should get rid
> of checking of models and assumptions
> more often. Then maybe we'd be able to
> solve some of the problems that the
> machine learning people can solve but
> we can't!

There was also the [**""Statistical Modeling: The Two Cultures""** paper][4] by Leo Breiman in 2001 which argued that Statisticians rely too heavily on data modeling, and that machine learning techniques are making progress by instead relying on the *predictive accuracy* of models.

Has the Statistics field changed over the last decade in response to these critiques?  Do the *two cultures* still exist or has Statistics grown to embrace machine learning techniques such as neural networks and support vector machines?


  [1]: http://anyall.org/
  [2]: http://anyall.org/blog/2008/12/statistics-vs-machine-learning-fight/
  [3]: http://www.stat.columbia.edu/~cook/movabletype/archives/2008/12/machine-learnin.html
  [4]: http://www.stat.osu.edu/~bli/dmsl/papers/Breiman.pdf",,2010-07-19 19:14:44.080
289,143,114.0,3,,CC BY-SA 2.5,657b3316-c103-42cc-bdd9-a52a5fedc530,<algorithms><running><median>,,2010-07-19 21:32:38.523
288,143,114.0,1,,CC BY-SA 2.5,657b3316-c103-42cc-bdd9-a52a5fedc530,Algorithms to compute the running median?,,2010-07-19 21:32:38.523
287,143,114.0,2,,CC BY-SA 2.5,657b3316-c103-42cc-bdd9-a52a5fedc530,"On smaller window sizes, `n log n` sorting might work. Are there any better algorithms to achieve this?",,2010-07-19 21:32:38.523
323,143,,6,user88,CC BY-SA 2.5,a6573b2a-0409-4d07-98ba-52887586892e,<algorithms><possibly-off-topic><running-median>,edited tags,2010-07-19 22:05:23.010
670,143,,6,,CC BY-SA 2.5,eabdccd9-fcd9-47a7-a1aa-76e66eef254d,<algorithms><running-median>,edited tags,2010-07-20 15:47:15.207
672,143,,6,,CC BY-SA 2.5,c541c63b-6843-45e8-aeb3-ff70f45b4d85,<algorithms><possibly-off-topic><running-median>,edited tags,2010-07-20 15:56:17.447
708,143,,6,,CC BY-SA 2.5,91e1ac65-2a05-465e-8a14-176318e40a18,<algorithms><running-median>,edited tags,2010-07-20 18:12:30.547
717,143,0.0,10,,,27606156-98ee-43d6-992a-478139afd75a,"{""Voters"":[{""Id"":88,""DisplayName"":""mbq""},{""Id"":190,""DisplayName"":""Peter Smit""},{""Id"":13,""DisplayName"":""Sharpie""},{""Id"":103,""DisplayName"":""rcs""},{""Id"":28,""DisplayName"":""Srikant Vadali""}]}",2,2010-07-20 18:54:42.177
750,356,166.0,1,,CC BY-SA 2.5,47492cb7-f60a-4302-819f-86df9d13f334,What is the difference between the Shapiro-Wilk test of normality and the Kolmogorov-Smirnov test of normality?,,2010-07-21 00:24:35.500
751,356,166.0,3,,CC BY-SA 2.5,47492cb7-f60a-4302-819f-86df9d13f334,<distributions><statistical-significance><normality-assumption>,,2010-07-21 00:24:35.500
752,356,166.0,2,,CC BY-SA 2.5,47492cb7-f60a-4302-819f-86df9d13f334,What is the difference between the Shapiro-Wilk test of normality and the Kolmogorov-Smirnov test of normality?  When will results from these two methods differ?,,2010-07-21 00:24:35.500
