id,related_post_id,post_id,link_type_id,creation_date
190,414,1248,1,2010-10-23 01:35:01.237
1219,3646,16313,1,2011-11-09 02:39:58.990
1957,414,4187,1,2012-04-05 13:12:17.893
6235,541,50739,1,2013-07-14 15:38:00.373
7217,57195,57228,1,2013-10-10 16:08:47.950
7219,8529,57244,1,2013-10-10 19:26:46.907
7226,5015,57220,1,2013-10-11 10:23:28.123
7232,57304,57307,1,2013-10-11 15:18:07.647
7233,57317,57223,1,2013-10-11 18:06:51.590
7234,57223,57317,1,2013-10-11 18:09:17.457
7241,10911,57317,1,2013-10-12 01:03:28.597
7247,57317,10911,1,2013-10-12 10:04:51.897
7299,57390,57631,1,2013-10-16 18:22:09.447
7302,57359,57578,1,2013-10-17 06:08:23.457
7304,57192,57237,1,2013-10-17 08:09:13.697
7320,57192,37981,1,2013-10-18 19:41:23.763
7328,57538,57778,1,2013-10-18 21:56:33.543
7348,57778,57538,1,2013-10-20 23:41:03.453
7354,28,57869,1,2013-10-21 13:50:07.057
7358,57976,57970,3,2013-10-22 00:01:40.250
7370,57830,55209,1,2013-10-22 20:34:57.207
7377,54637,58081,1,2013-10-23 10:49:22.693
7379,58081,54637,1,2013-10-23 12:04:48.980
7387,58149,57317,1,2013-10-24 04:24:12.760
7388,10911,58149,1,2013-10-24 04:33:09.597
7389,57317,58149,1,2013-10-24 04:33:09.597
7390,57895,58154,1,2013-10-24 12:15:12.887
7394,58090,58180,1,2013-10-24 20:28:21.067
7395,58180,58090,1,2013-10-24 20:28:52.160
7396,58183,58187,1,2013-10-24 21:34:20.433
7413,58268,58265,1,2013-10-26 13:24:21.497
7426,58269,58341,1,2013-10-28 08:12:34.160
7428,57680,58357,1,2013-10-28 12:59:30.020
7431,58308,58307,1,2013-10-28 15:31:19.840
7433,58125,58369,1,2013-10-28 17:51:19.100
7437,58027,58408,1,2013-10-29 05:11:18.327
7445,2509,58453,1,2013-10-29 19:38:43.767
7450,57990,58467,1,2013-10-30 12:15:40.743
7454,58529,58290,1,2013-10-30 18:26:31.227
7455,58534,58467,1,2013-10-30 19:14:14.273
7468,58485,58373,1,2013-10-31 18:03:47.743
7472,58515,58620,1,2013-11-01 00:05:59.307
7478,14729,58650,1,2013-11-01 19:23:21.433
7482,58179,58678,1,2013-11-02 07:37:47.103
7489,58521,58720,1,2013-11-02 19:17:43.203
7520,58678,58951,1,2013-11-06 03:24:17.310
7521,58609,58951,1,2013-11-06 03:24:17.310
7522,58951,58179,1,2013-11-06 03:27:09.100
7544,59040,59119,1,2013-11-08 03:38:56.173
7551,58818,59172,1,2013-11-08 21:00:03.390
7558,59092,59124,1,2013-11-09 12:20:01.910
7611,58678,59092,1,2013-11-13 19:20:55.760
7649,57317,58445,1,2013-11-18 07:24:08.027
14852,14729,58650,3,2015-01-18 17:48:06.900
16962,47981,414,1,2015-04-14 13:49:32.550
20431,16313,3646,1,2015-09-08 08:13:25.983
