circuitId,circuitRef,name,location,country,lat,lng,alt
0,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10.0
1,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18.0
2,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
3,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
4,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130.0
5,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0
6,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13.0
7,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,228.0
8,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
9,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103.0
10,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
11,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,4.0
12,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401.0
13,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
14,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18.0
15,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,583.0
16,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0
17,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785.0
18,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,223.0
19,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578.0
20,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37.0
21,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45.0
22,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,
23,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3.0
24,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,8.0
25,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,37.0
26,estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,130.0
27,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,266.0
28,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,58.0
29,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,1460.0
30,donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,88.0
31,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227.0
