constructorResultsId,raceId,constructorId,points,date
0,48,103,13.0,1956-01-22 00:00:00
1,48,5,12.0,1956-01-22 00:00:00
2,54,126,0.0,1956-08-05 00:00:00
3,54,103,15.0,1956-08-05 00:00:00
4,54,5,9.0,1956-08-05 00:00:00
5,64,85,8.0,1958-01-19 00:00:00
6,64,5,6.0,1958-01-19 00:00:00
7,64,103,3.0,1958-01-19 00:00:00
8,65,125,0.0,1958-05-18 00:00:00
9,65,123,0.0,1958-05-18 00:00:00
10,65,103,0.0,1958-05-18 00:00:00
11,65,31,0.0,1958-05-18 00:00:00
12,65,116,0.0,1958-05-18 00:00:00
13,65,5,6.0,1958-05-18 00:00:00
14,65,85,8.0,1958-05-18 00:00:00
15,65,64,2.0,1958-05-18 00:00:00
16,66,93,0.0,1958-05-26 00:00:00
17,66,103,0.0,1958-05-26 00:00:00
18,66,5,2.0,1958-05-26 00:00:00
19,66,31,0.0,1958-05-26 00:00:00
20,66,64,6.0,1958-05-26 00:00:00
21,66,116,8.0,1958-05-26 00:00:00
22,66,85,3.0,1958-05-26 00:00:00
23,68,103,0.0,1958-06-15 00:00:00
24,68,116,8.0,1958-06-15 00:00:00
25,68,5,6.0,1958-06-15 00:00:00
26,68,31,3.0,1958-06-15 00:00:00
27,68,64,2.0,1958-06-15 00:00:00
28,68,85,0.0,1958-06-15 00:00:00
29,69,31,0.0,1958-07-06 00:00:00
30,69,103,3.0,1958-07-06 00:00:00
31,69,64,0.0,1958-07-06 00:00:00
32,69,85,0.0,1958-07-06 00:00:00
33,69,5,8.0,1958-07-06 00:00:00
34,69,116,6.0,1958-07-06 00:00:00
35,70,5,8.0,1958-07-19 00:00:00
36,70,85,4.0,1958-07-19 00:00:00
37,70,116,3.0,1958-07-19 00:00:00
38,70,64,2.0,1958-07-19 00:00:00
39,70,103,0.0,1958-07-19 00:00:00
40,70,31,0.0,1958-07-19 00:00:00
41,70,123,0.0,1958-07-19 00:00:00
42,71,103,0.0,1958-08-03 00:00:00
43,71,64,0.0,1958-08-03 00:00:00
44,71,93,0.0,1958-08-03 00:00:00
45,71,31,0.0,1958-08-03 00:00:00
46,71,85,6.0,1958-08-03 00:00:00
47,71,116,8.0,1958-08-03 00:00:00
48,71,5,3.0,1958-08-03 00:00:00
49,72,116,8.0,1958-08-24 00:00:00
50,72,5,6.0,1958-08-24 00:00:00
51,72,64,3.0,1958-08-24 00:00:00
52,72,85,0.0,1958-08-24 00:00:00
53,72,103,0.0,1958-08-24 00:00:00
54,72,31,0.0,1958-08-24 00:00:00
55,73,31,0.0,1958-09-07 00:00:00
56,73,116,8.0,1958-09-07 00:00:00
57,73,5,6.0,1958-09-07 00:00:00
58,73,103,0.0,1958-09-07 00:00:00
59,73,85,2.0,1958-09-07 00:00:00
60,73,64,0.0,1958-09-07 00:00:00
61,74,64,5.0,1958-10-19 00:00:00
62,74,103,0.0,1958-10-19 00:00:00
63,74,85,0.0,1958-10-19 00:00:00
64,74,116,9.0,1958-10-19 00:00:00
65,74,31,0.0,1958-10-19 00:00:00
66,74,5,10.0,1958-10-19 00:00:00
