constructorStandingsId,raceId,constructorId,points,position,wins,date
0,64,103,3.0,3,0,1958-01-19 00:00:00
1,64,5,6.0,2,0,1958-01-19 00:00:00
2,64,85,8.0,1,1,1958-01-19 00:00:00
3,65,85,16.0,1,2,1958-05-18 00:00:00
4,65,31,0.0,5,0,1958-05-18 00:00:00
5,65,64,2.0,4,0,1958-05-18 00:00:00
6,65,103,3.0,3,0,1958-05-18 00:00:00
7,65,5,12.0,2,0,1958-05-18 00:00:00
8,65,125,0.0,8,0,1958-05-18 00:00:00
9,65,116,0.0,6,0,1958-05-18 00:00:00
10,65,123,0.0,7,0,1958-05-18 00:00:00
11,66,116,8.0,3,1,1958-05-26 00:00:00
12,66,93,0.0,7,0,1958-05-26 00:00:00
13,66,125,0.0,9,0,1958-05-26 00:00:00
14,66,123,0.0,8,0,1958-05-26 00:00:00
15,66,64,8.0,4,0,1958-05-26 00:00:00
16,66,31,0.0,6,0,1958-05-26 00:00:00
17,66,103,3.0,5,0,1958-05-26 00:00:00
18,66,5,14.0,2,0,1958-05-26 00:00:00
19,66,85,19.0,1,2,1958-05-26 00:00:00
20,67,123,0.0,8,0,1958-05-30 00:00:00
21,67,125,0.0,9,0,1958-05-30 00:00:00
22,67,5,14.0,2,0,1958-05-30 00:00:00
23,67,116,8.0,3,1,1958-05-30 00:00:00
24,67,31,0.0,6,0,1958-05-30 00:00:00
25,67,64,8.0,4,0,1958-05-30 00:00:00
26,67,85,19.0,1,2,1958-05-30 00:00:00
27,67,103,3.0,5,0,1958-05-30 00:00:00
28,67,93,0.0,7,0,1958-05-30 00:00:00
29,68,64,10.0,4,0,1958-06-15 00:00:00
30,68,103,3.0,5,0,1958-06-15 00:00:00
31,68,5,20.0,1,0,1958-06-15 00:00:00
32,68,31,3.0,6,0,1958-06-15 00:00:00
33,68,116,16.0,3,2,1958-06-15 00:00:00
34,68,85,19.0,2,2,1958-06-15 00:00:00
35,68,93,0.0,7,0,1958-06-15 00:00:00
36,68,123,0.0,8,0,1958-06-15 00:00:00
37,68,125,0.0,9,0,1958-06-15 00:00:00
38,69,93,0.0,7,0,1958-07-06 00:00:00
39,69,125,0.0,9,0,1958-07-06 00:00:00
40,69,123,0.0,8,0,1958-07-06 00:00:00
41,69,116,22.0,2,2,1958-07-06 00:00:00
42,69,31,3.0,6,0,1958-07-06 00:00:00
43,69,5,28.0,1,1,1958-07-06 00:00:00
44,69,103,6.0,5,0,1958-07-06 00:00:00
45,69,85,19.0,3,2,1958-07-06 00:00:00
46,69,64,10.0,4,0,1958-07-06 00:00:00
47,70,5,36.0,1,2,1958-07-19 00:00:00
48,70,85,23.0,3,2,1958-07-19 00:00:00
49,70,64,12.0,4,0,1958-07-19 00:00:00
50,70,93,0.0,7,0,1958-07-19 00:00:00
51,70,125,0.0,9,0,1958-07-19 00:00:00
52,70,123,0.0,8,0,1958-07-19 00:00:00
53,70,116,25.0,2,2,1958-07-19 00:00:00
54,70,31,3.0,6,0,1958-07-19 00:00:00
55,70,103,6.0,5,0,1958-07-19 00:00:00
56,71,103,6.0,5,0,1958-08-03 00:00:00
57,71,31,3.0,6,0,1958-08-03 00:00:00
58,71,64,12.0,4,0,1958-08-03 00:00:00
59,71,116,33.0,2,3,1958-08-03 00:00:00
60,71,123,0.0,8,0,1958-08-03 00:00:00
61,71,125,0.0,9,0,1958-08-03 00:00:00
62,71,93,0.0,7,0,1958-08-03 00:00:00
63,71,85,29.0,3,2,1958-08-03 00:00:00
64,71,5,37.0,1,2,1958-08-03 00:00:00
65,72,5,40.0,2,2,1958-08-24 00:00:00
66,72,93,0.0,7,0,1958-08-24 00:00:00
67,72,125,0.0,9,0,1958-08-24 00:00:00
68,72,123,0.0,8,0,1958-08-24 00:00:00
69,72,116,41.0,1,4,1958-08-24 00:00:00
70,72,31,3.0,6,0,1958-08-24 00:00:00
71,72,64,15.0,4,0,1958-08-24 00:00:00
72,72,103,6.0,5,0,1958-08-24 00:00:00
73,72,85,29.0,3,2,1958-08-24 00:00:00
74,73,93,0.0,7,0,1958-09-07 00:00:00
75,73,125,0.0,9,0,1958-09-07 00:00:00
76,73,123,0.0,8,0,1958-09-07 00:00:00
77,73,116,46.0,1,5,1958-09-07 00:00:00
78,73,31,3.0,6,0,1958-09-07 00:00:00
79,73,64,15.0,4,0,1958-09-07 00:00:00
80,73,103,6.0,5,0,1958-09-07 00:00:00
81,73,5,40.0,2,2,1958-09-07 00:00:00
82,73,85,31.0,3,2,1958-09-07 00:00:00
83,74,116,48.0,1,6,1958-10-19 00:00:00
84,74,85,31.0,3,2,1958-10-19 00:00:00
85,74,31,3.0,6,0,1958-10-19 00:00:00
86,74,123,0.0,8,0,1958-10-19 00:00:00
