constructorId,constructorRef,name,nationality
0,mclaren,McLaren,British
1,bmw_sauber,BMW Sauber,German
2,williams,Williams,British
3,renault,Renault,French
4,toro_rosso,Toro Rosso,Italian
5,ferrari,Ferrari,Italian
6,toyota,Toyota,Japanese
7,super_aguri,Super Aguri,Japanese
8,red_bull,Red Bull,Austrian
9,force_india,Force India,Indian
10,honda,Honda,Japanese
11,spyker,Spyker,Dutch
12,mf1,MF1,Russian
13,spyker_mf1,Spyker MF1,Dutch
14,sauber,Sauber,Swiss
15,bar,BAR,British
16,jordan,Jordan,Irish
17,minardi,Minardi,Italian
18,jaguar,Jaguar,British
19,prost,Prost,French
20,arrows,Arrows,British
21,benetton,Benetton,Italian
22,brawn,Brawn,British
23,stewart,Stewart,British
24,tyrrell,Tyrrell,British
25,lola,Lola,British
26,ligier,Ligier,French
27,forti,Forti,Italian
28,footwork,Footwork,British
29,pacific,Pacific,British
30,simtek,Simtek,British
31,team_lotus,Team Lotus,British
32,larrousse,Larrousse,French
33,brabham,Brabham,British
34,dallara,Dallara,Italian
35,fondmetal,Fondmetal,Italian
36,march,March,British
37,moda,Andrea Moda,Italian
38,ags,AGS,French
39,lambo,Lambo,Italian
40,leyton,Leyton House,British
41,coloni,Coloni,Italian
42,eurobrun,Euro Brun,Italian
43,osella,Osella,Italian
44,onyx,Onyx,British
45,life,Life,Italian
46,rial,Rial,German
47,zakspeed,Zakspeed,German
48,ram,RAM,British
49,alfa,Alfa Romeo,Swiss
50,spirit,Spirit,British
51,toleman,Toleman,British
52,ats,ATS,Italian
53,theodore,Theodore,Hong Kong
54,fittipaldi,Fittipaldi,Brazilian
55,ensign,Ensign,British
56,shadow,Shadow,British
57,wolf,Wolf,Canadian
58,merzario,Merzario,Italian
59,kauhsen,Kauhsen,German
60,rebaque,Rebaque,Mexican
61,surtees,Surtees,British
62,hesketh,Hesketh,British
63,martini,Martini,French
64,brm,BRM,British
65,penske,Penske,American
66,lec,LEC,British
67,mcguire,McGuire,Australian
68,boro,Boro,Dutch
69,apollon,Apollon,Swiss
70,kojima,Kojima,Japanese
71,parnelli,Parnelli,American
72,maki,Maki,Japanese
73,hill,Embassy Hill,British
74,lyncar,Lyncar,British
75,trojan,Trojan,British
76,amon,Amon,New Zealander
77,token,Token,British
