qualifyId,raceId,driverId,constructorId,number,position,date
0,548,43,26,26,19,1994-03-26 00:00:00
1,548,100,30,31,26,1994-03-26 00:00:00
2,548,91,29,34,25,1994-03-26 00:00:00
3,548,82,31,11,24,1994-03-26 00:00:00
4,548,105,32,19,23,1994-03-26 00:00:00
5,548,104,17,24,22,1994-03-26 00:00:00
6,548,64,31,12,21,1994-03-26 00:00:00
7,548,102,26,25,20,1994-03-26 00:00:00
8,548,83,0,8,18,1994-03-26 00:00:00
9,548,76,5,28,17,1994-03-26 00:00:00
10,548,55,16,15,16,1994-03-26 00:00:00
11,548,21,16,14,14,1994-03-26 00:00:00
12,548,99,32,20,13,1994-03-26 00:00:00
13,548,93,17,23,15,1994-03-26 00:00:00
14,548,103,28,9,11,1994-03-26 00:00:00
15,548,101,2,2,1,1994-03-26 00:00:00
16,548,29,21,5,2,1994-03-26 00:00:00
17,548,54,5,27,3,1994-03-26 00:00:00
18,548,70,2,0,4,1994-03-26 00:00:00
19,548,86,24,4,12,1994-03-26 00:00:00
20,548,80,28,10,6,1994-03-26 00:00:00
21,548,48,14,30,5,1994-03-26 00:00:00
22,548,56,0,7,8,1994-03-26 00:00:00
23,548,49,21,6,9,1994-03-26 00:00:00
24,548,78,24,3,10,1994-03-26 00:00:00
25,548,90,14,29,7,1994-03-26 00:00:00
26,549,99,32,20,16,1994-04-16 00:00:00
27,549,87,16,15,20,1994-04-16 00:00:00
28,549,93,17,23,17,1994-04-16 00:00:00
29,549,102,26,25,18,1994-04-16 00:00:00
30,549,90,14,29,19,1994-04-16 00:00:00
31,549,105,32,19,21,1994-04-16 00:00:00
32,549,83,0,8,6,1994-04-16 00:00:00
33,549,64,31,12,23,1994-04-16 00:00:00
34,549,82,31,11,24,1994-04-16 00:00:00
35,549,100,30,31,25,1994-04-16 00:00:00
36,549,106,30,32,26,1994-04-16 00:00:00
37,549,104,17,24,15,1994-04-16 00:00:00
38,549,43,26,26,22,1994-04-16 00:00:00
39,549,78,24,3,14,1994-04-16 00:00:00
40,549,29,21,5,2,1994-04-16 00:00:00
41,549,86,24,4,12,1994-04-16 00:00:00
42,549,101,2,2,1,1994-04-16 00:00:00
43,549,70,2,0,3,1994-04-16 00:00:00
44,549,80,28,10,13,1994-04-16 00:00:00
45,549,76,5,28,5,1994-04-16 00:00:00
46,549,56,0,7,4,1994-04-16 00:00:00
47,549,21,16,14,8,1994-04-16 00:00:00
48,549,103,28,9,9,1994-04-16 00:00:00
49,549,49,21,6,10,1994-04-16 00:00:00
50,549,48,14,30,11,1994-04-16 00:00:00
51,549,77,5,27,7,1994-04-16 00:00:00
52,550,99,32,20,18,1994-04-30 00:00:00
53,550,82,31,11,22,1994-04-30 00:00:00
54,550,43,26,26,19,1994-04-30 00:00:00
55,550,64,31,12,20,1994-04-30 00:00:00
56,550,109,16,15,21,1994-04-30 00:00:00
57,550,105,32,19,23,1994-04-30 00:00:00
58,550,80,28,10,11,1994-04-30 00:00:00
59,550,91,29,34,25,1994-04-30 00:00:00
60,550,106,30,32,26,1994-04-30 00:00:00
61,550,107,29,33,27,1994-04-30 00:00:00
62,550,21,16,14,28,1994-04-30 00:00:00
63,550,102,26,25,17,1994-04-30 00:00:00
64,550,100,30,31,24,1994-04-30 00:00:00
65,550,103,28,9,16,1994-04-30 00:00:00
66,550,93,17,23,14,1994-04-30 00:00:00
67,550,101,2,2,1,1994-04-30 00:00:00
68,550,104,17,24,15,1994-04-30 00:00:00
69,550,29,21,5,2,1994-04-30 00:00:00
70,550,76,5,28,3,1994-04-30 00:00:00
71,550,70,2,0,4,1994-04-30 00:00:00
72,550,77,5,27,6,1994-04-30 00:00:00
73,550,108,21,6,5,1994-04-30 00:00:00
74,550,56,0,7,8,1994-04-30 00:00:00
75,550,78,24,3,9,1994-04-30 00:00:00
76,550,90,14,29,10,1994-04-30 00:00:00
77,550,86,24,4,12,1994-04-30 00:00:00
78,550,83,0,8,13,1994-04-30 00:00:00
79,550,48,14,30,7,1994-04-30 00:00:00
80,552,102,26,25,20,1994-05-28 00:00:00
81,552,99,32,20,16,1994-05-28 00:00:00
82,552,105,32,19,17,1994-05-28 00:00:00
83,552,93,17,23,18,1994-05-28 00:00:00
84,552,103,28,9,21,1994-05-28 00:00:00
85,552,43,26,26,19,1994-05-28 00:00:00
86,552,69,31,11,23,1994-05-28 00:00:00
87,552,100,30,31,24,1994-05-28 00:00:00
88,552,91,29,34,25,1994-05-28 00:00:00
89,552,107,29,33,26,1994-05-28 00:00:00
90,552,80,28,10,15,1994-05-28 00:00:00
91,552,64,31,12,22,1994-05-28 00:00:00
92,552,104,17,24,14,1994-05-28 00:00:00
93,552,48,14,30,12,1994-05-28 00:00:00
94,552,29,21,5,1,1994-05-28 00:00:00
95,552,86,24,4,11,1994-05-28 00:00:00
96,552,78,24,3,10,1994-05-28 00:00:00
97,552,13,2,2,9,1994-05-28 00:00:00
98,552,83,0,8,8,1994-05-28 00:00:00
99,552,76,5,28,7,1994-05-28 00:00:00
100,552,54,5,27,6,1994-05-28 00:00:00
101,552,21,16,14,5,1994-05-28 00:00:00
102,552,108,21,6,4,1994-05-28 00:00:00
103,552,56,0,7,3,1994-05-28 00:00:00
104,552,70,2,0,2,1994-05-28 00:00:00
105,552,55,16,15,13,1994-05-28 00:00:00
106,553,93,17,23,15,1994-06-11 00:00:00
107,553,103,28,9,16,1994-06-11 00:00:00
108,553,64,31,12,17,1994-06-11 00:00:00
109,553,104,17,24,18,1994-06-11 00:00:00
110,553,109,14,29,14,1994-06-11 00:00:00
111,553,108,21,6,20,1994-06-11 00:00:00
112,553,99,32,20,21,1994-06-11 00:00:00
113,553,105,32,19,22,1994-06-11 00:00:00
114,553,102,26,25,24,1994-06-11 00:00:00
115,553,43,26,26,19,1994-06-11 00:00:00
116,553,86,24,4,13,1994-06-11 00:00:00
117,553,100,30,31,25,1994-06-11 00:00:00
118,553,80,28,10,11,1994-06-11 00:00:00
119,553,48,14,30,10,1994-06-11 00:00:00
120,553,78,24,3,9,1994-06-11 00:00:00
121,553,55,16,15,8,1994-06-11 00:00:00
122,553,56,0,7,7,1994-06-11 00:00:00
123,553,21,16,14,6,1994-06-11 00:00:00
124,553,13,2,2,5,1994-06-11 00:00:00
125,553,70,2,0,4,1994-06-11 00:00:00
126,553,76,5,28,3,1994-06-11 00:00:00
127,553,54,5,27,2,1994-06-11 00:00:00
128,553,29,21,5,1,1994-06-11 00:00:00
129,553,83,0,8,12,1994-06-11 00:00:00
130,553,91,29,34,26,1994-06-11 00:00:00
131,553,69,31,11,23,1994-06-11 00:00:00
132,554,64,31,12,19,1994-07-02 00:00:00
133,554,110,30,32,26,1994-07-02 00:00:00
134,554,105,32,19,25,1994-07-02 00:00:00
135,554,100,30,31,24,1994-07-02 00:00:00
136,554,69,31,11,23,1994-07-02 00:00:00
137,554,80,28,10,22,1994-07-02 00:00:00
138,554,104,17,24,21,1994-07-02 00:00:00
139,554,99,32,20,20,1994-07-02 00:00:00
140,554,103,28,9,18,1994-07-02 00:00:00
141,554,86,24,4,17,1994-07-02 00:00:00
142,554,93,17,23,16,1994-07-02 00:00:00
143,554,78,24,3,14,1994-07-02 00:00:00
144,554,43,26,26,13,1994-07-02 00:00:00
145,554,102,26,25,15,1994-07-02 00:00:00
146,554,109,14,29,11,1994-07-02 00:00:00
147,554,70,2,0,1,1994-07-02 00:00:00
148,554,94,2,2,2,1994-07-02 00:00:00
149,554,29,21,5,3,1994-07-02 00:00:00
150,554,54,5,27,4,1994-07-02 00:00:00
151,554,83,0,8,12,1994-07-02 00:00:00
152,554,55,16,15,6,1994-07-02 00:00:00
153,554,76,5,28,5,1994-07-02 00:00:00
154,554,49,21,6,8,1994-07-02 00:00:00
155,554,56,0,7,9,1994-07-02 00:00:00
156,554,48,14,30,10,1994-07-02 00:00:00
157,554,21,16,14,7,1994-07-02 00:00:00
158,555,104,17,24,17,1994-07-09 00:00:00
159,555,103,28,9,20,1994-07-09 00:00:00
160,555,109,14,29,18,1994-07-09 00:00:00
161,555,69,31,11,19,1994-07-09 00:00:00
162,555,64,31,12,21,1994-07-09 00:00:00
163,555,83,0,8,9,1994-07-09 00:00:00
164,555,102,26,25,23,1994-07-09 00:00:00
165,555,105,32,19,24,1994-07-09 00:00:00
