driverStandingsId,raceId,driverId,points,position,wins,date
0,0,789,0.0,20,0,1950-05-13
1,0,640,0.0,18,0,1950-05-13
2,0,589,0.0,19,0,1950-05-13
3,0,669,0.0,15,0,1950-05-13
4,0,661,0.0,22,0,1950-05-13
5,0,790,0.0,23,0,1950-05-13
6,0,788,0.0,10,0,1950-05-13
7,0,786,6.0,2,0,1950-05-13
8,0,686,4.0,3,0,1950-05-13
9,0,666,0.0,21,0,1950-05-13
10,0,776,0.0,14,0,1950-05-13
11,0,579,0.0,13,0,1950-05-13
12,0,660,0.0,12,0,1950-05-13
13,0,642,9.0,1,1,1950-05-13
14,0,778,0.0,11,0,1950-05-13
15,0,784,0.0,9,0,1950-05-13
16,0,741,0.0,8,0,1950-05-13
17,0,787,0.0,7,0,1950-05-13
18,0,619,0.0,6,0,1950-05-13
19,0,627,2.0,5,0,1950-05-13
20,0,704,3.0,4,0,1950-05-13
21,0,785,0.0,17,0,1950-05-13
22,0,747,0.0,16,0,1950-05-13
23,1,633,0.0,18,0,1950-05-21
24,1,498,0.0,19,0,1950-05-21
25,1,626,0.0,21,0,1950-05-21
26,1,426,0.0,25,0,1950-05-21
27,1,762,0.0,26,0,1950-05-21
28,1,647,6.0,4,0,1950-05-21
29,1,793,3.0,8,0,1950-05-21
30,1,640,0.0,22,0,1950-05-21
31,1,785,0.0,24,0,1950-05-21
32,1,747,0.0,23,0,1950-05-21
33,1,776,0.0,20,0,1950-05-21
34,1,579,9.0,2,1,1950-05-21
35,1,660,0.0,12,0,1950-05-21
36,1,778,0.0,17,0,1950-05-21
37,1,784,0.0,15,0,1950-05-21
38,1,741,0.0,14,0,1950-05-21
39,1,787,0.0,13,0,1950-05-21
40,1,627,2.0,9,0,1950-05-21
41,1,704,3.0,7,0,1950-05-21
42,1,786,6.0,3,0,1950-05-21
43,1,642,9.0,1,1,1950-05-21
44,1,661,0.0,30,0,1950-05-21
45,1,501,0.0,28,0,1950-05-21
46,1,687,0.0,31,0,1950-05-21
47,1,619,0.0,11,0,1950-05-21
48,1,788,0.0,16,0,1950-05-21
49,1,792,0.0,33,0,1950-05-21
50,1,669,2.0,10,0,1950-05-21
51,1,790,0.0,32,0,1950-05-21
52,1,789,0.0,27,0,1950-05-21
53,1,589,4.0,5,0,1950-05-21
54,1,666,0.0,29,0,1950-05-21
55,1,686,4.0,6,0,1950-05-21
56,2,776,0.0,45,0,1950-05-30
57,2,669,2.0,14,0,1950-05-30
58,2,747,0.0,48,0,1950-05-30
59,2,785,0.0,49,0,1950-05-30
60,2,640,0.0,47,0,1950-05-30
61,2,589,4.0,7,0,1950-05-30
62,2,789,0.0,52,0,1950-05-30
63,2,790,0.0,57,0,1950-05-30
64,2,647,6.0,5,0,1950-05-30
65,2,498,0.0,44,0,1950-05-30
66,2,626,0.0,46,0,1950-05-30
67,2,426,0.0,50,0,1950-05-30
68,2,762,0.0,51,0,1950-05-30
69,2,687,0.0,56,0,1950-05-30
70,2,787,0.0,20,0,1950-05-30
71,2,661,0.0,55,0,1950-05-30
72,2,633,0.0,43,0,1950-05-30
73,2,501,0.0,53,0,1950-05-30
74,2,666,0.0,54,0,1950-05-30
75,2,784,0.0,24,0,1950-05-30
76,2,778,0.0,28,0,1950-05-30
77,2,660,0.0,19,0,1950-05-30
78,2,520,0.0,34,0,1950-05-30
79,2,803,0.0,60,0,1950-05-30
80,2,526,0.0,33,0,1950-05-30
81,2,658,0.0,32,0,1950-05-30
82,2,772,0.0,31,0,1950-05-30
83,2,518,0.0,30,0,1950-05-30
84,2,795,0.0,29,0,1950-05-30
85,2,559,0.0,26,0,1950-05-30
86,2,555,0.0,25,0,1950-05-30
87,2,726,0.0,23,0,1950-05-30
88,2,654,0.0,21,0,1950-05-30
89,2,766,0.0,18,0,1950-05-30
90,2,794,1.0,16,0,1950-05-30
91,2,770,3.0,11,0,1950-05-30
92,2,768,4.0,9,0,1950-05-30
93,2,701,6.0,6,0,1950-05-30
94,2,593,9.0,3,1,1950-05-30
95,2,792,0.0,58,0,1950-05-30
96,2,741,0.0,22,0,1950-05-30
97,2,704,3.0,10,0,1950-05-30
98,2,579,9.0,2,1,1950-05-30
99,2,653,0.0,35,0,1950-05-30
100,2,788,0.0,27,0,1950-05-30
101,2,630,0.0,66,0,1950-05-30
102,2,537,0.0,65,0,1950-05-30
103,2,529,1.0,15,0,1950-05-30
104,2,611,0.0,64,0,1950-05-30
105,2,799,0.0,63,0,1950-05-30
106,2,615,0.0,62,0,1950-05-30
107,2,798,0.0,61,0,1950-05-30
108,2,729,0.0,59,0,1950-05-30
109,2,731,0.0,67,0,1950-05-30
110,2,509,0.0,42,0,1950-05-30
111,2,797,0.0,41,0,1950-05-30
112,2,796,0.0,40,0,1950-05-30
113,2,786,6.0,4,0,1950-05-30
114,2,627,2.0,13,0,1950-05-30
115,2,619,0.0,17,0,1950-05-30
116,2,686,4.0,8,0,1950-05-30
117,2,732,0.0,36,0,1950-05-30
118,2,771,0.0,37,0,1950-05-30
119,2,677,0.0,38,0,1950-05-30
